"No.","Time","Source","Destination","Protocol","Length","Info"
"64","0.067723","fe80::5f6c:71c:5511:a715","ff02::fb","MDNS","411","Standard query response 0x0000 PTR Spotify Desktop Launcher(16)._spotify-connect._tcp.local SRV 0 0 41636 LAPTOP-TNGKTA55.local TXT A 194.210.223.66 AAAA 2001:690:2100:1016:5be3:b466:5162:3b73 AAAA 2001:690:2100:1016:3d08:fc5a:db89:b093 AAAA fe80::5f6c:71c:5511:a715"
"65","0.067964","fe80::5f6c:71c:5511:a715","ff02::fb","MDNS","411","Standard query response 0x0000 PTR Spotify Desktop Launcher(16)._spotify-connect._tcp.local SRV 0 0 41636 LAPTOP-TNGKTA55.local TXT A 194.210.223.66 AAAA 2001:690:2100:1016:5be3:b466:5162:3b73 AAAA 2001:690:2100:1016:3d08:fc5a:db89:b093 AAAA fe80::5f6c:71c:5511:a715"
"66","0.068120","fe80::5f6c:71c:5511:a715","ff02::fb","MDNS","411","Standard query response 0x0000 PTR Spotify Desktop Launcher(16)._spotify-connect._tcp.local SRV 0 0 41636 LAPTOP-TNGKTA55.local TXT A 194.210.223.66 AAAA 2001:690:2100:1016:5be3:b466:5162:3b73 AAAA 2001:690:2100:1016:3d08:fc5a:db89:b093 AAAA fe80::5f6c:71c:5511:a715"
"67","0.068269","194.210.220.15","224.0.0.251","MDNS","319","Standard query response 0x0000 PTR Spotify Desktop Launcher._spotify-connect._tcp.local SRV 0 0 60973 MartimPC.local TXT A 194.210.220.15 NSEC MartimPC.local"
"68","0.068426","fe80::e033:b371:1a19:6f97","ff02::fb","MDNS","409","Standard query response 0x0000 PTR Spotify Desktop Launcher(7)._spotify-connect._tcp.local SRV 0 0 60846 LAPTOP-R1GFEM5F.local TXT A 194.210.222.137 AAAA 2001:690:2100:1016:20d9:6e3:410f:fc19 AAAA 2001:690:2100:1016:a125:c088:1d67:13c0 AAAA fe80::e033:b371:1a19:6f97"
"69","0.068600","fe80::e033:b371:1a19:6f97","ff02::fb","MDNS","409","Standard query response 0x0000 PTR Spotify Desktop Launcher(7)._spotify-connect._tcp.local SRV 0 0 60846 LAPTOP-R1GFEM5F.local TXT A 194.210.222.137 AAAA 2001:690:2100:1016:20d9:6e3:410f:fc19 AAAA 2001:690:2100:1016:a125:c088:1d67:13c0 AAAA fe80::e033:b371:1a19:6f97"
"70","0.068769","fe80::e033:b371:1a19:6f97","ff02::fb","MDNS","409","Standard query response 0x0000 PTR Spotify Desktop Launcher(7)._spotify-connect._tcp.local SRV 0 0 60846 LAPTOP-R1GFEM5F.local TXT A 194.210.222.137 AAAA 2001:690:2100:1016:20d9:6e3:410f:fc19 AAAA 2001:690:2100:1016:a125:c088:1d67:13c0 AAAA fe80::e033:b371:1a19:6f97"
"71","0.070830","194.210.222.177","224.0.0.251","MDNS","328","Standard query response 0x0000 PTR Spotify Desktop Launcher(4)._spotify-connect._tcp.local SRV 0 0 57770 BeababyPC.local TXT A 194.210.222.177 NSEC BeababyPC.local"
"72","0.071113","194.210.234.71","224.0.0.251","MDNS","367","Standard query response 0x0000 PTR Spotify Desktop Launcher(3)._spotify-connect._tcp.local SRV 0 0 49922 DESKTOP-7PBD6VQ.local A 194.210.234.71 AAAA 2001:690:2100:1016:aeed:81bd:6459:4057 AAAA 2001:690:2100:1016:38d5:99e6:82e:d313 AAAA fe80::cb57:e058:74a8:ec89"
"73","0.071313","fe80::cb57:e058:74a8:ec89","ff02::fb","MDNS","387","Standard query response 0x0000 PTR Spotify Desktop Launcher(3)._spotify-connect._tcp.local SRV 0 0 49922 DESKTOP-7PBD6VQ.local A 194.210.234.71 AAAA 2001:690:2100:1016:aeed:81bd:6459:4057 AAAA 2001:690:2100:1016:38d5:99e6:82e:d313 AAAA fe80::cb57:e058:74a8:ec89"
"74","0.071563","fe80::cb57:e058:74a8:ec89","ff02::fb","MDNS","387","Standard query response 0x0000 PTR Spotify Desktop Launcher(3)._spotify-connect._tcp.local SRV 0 0 49922 DESKTOP-7PBD6VQ.local A 194.210.234.71 AAAA 2001:690:2100:1016:aeed:81bd:6459:4057 AAAA 2001:690:2100:1016:38d5:99e6:82e:d313 AAAA fe80::cb57:e058:74a8:ec89"
"75","0.071750","fe80::cb57:e058:74a8:ec89","ff02::fb","MDNS","387","Standard query response 0x0000 PTR Spotify Desktop Launcher(3)._spotify-connect._tcp.local SRV 0 0 49922 DESKTOP-7PBD6VQ.local A 194.210.234.71 AAAA 2001:690:2100:1016:aeed:81bd:6459:4057 AAAA 2001:690:2100:1016:38d5:99e6:82e:d313 AAAA fe80::cb57:e058:74a8:ec89"
"76","0.071926","194.210.222.172","224.0.0.251","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(1)._spotify-connect._tcp.local SRV 0 0 52593 DESKTOP-LA2S0HR.local TXT A 194.210.222.172 AAAA 2001:690:2100:1016:d66b:f848:1953:1c44 AAAA 2001:690:2100:1016:c090:1087:3af6:2dec AAAA fe80::ab83:1b14:5c68:3eea"
"77","0.072079","fe80::ab83:1b14:5c68:3eea","ff02::fb","MDNS","409","Standard query response 0x0000 PTR Spotify Desktop Launcher(1)._spotify-connect._tcp.local SRV 0 0 52593 DESKTOP-LA2S0HR.local TXT A 194.210.222.172 AAAA 2001:690:2100:1016:d66b:f848:1953:1c44 AAAA 2001:690:2100:1016:c090:1087:3af6:2dec AAAA fe80::ab83:1b14:5c68:3eea"
"78","0.072612","fe80::ab83:1b14:5c68:3eea","ff02::fb","MDNS","409","Standard query response 0x0000 PTR Spotify Desktop Launcher(1)._spotify-connect._tcp.local SRV 0 0 52593 DESKTOP-LA2S0HR.local TXT A 194.210.222.172 AAAA 2001:690:2100:1016:d66b:f848:1953:1c44 AAAA 2001:690:2100:1016:c090:1087:3af6:2dec AAAA fe80::ab83:1b14:5c68:3eea"
"79","0.072855","fe80::ab83:1b14:5c68:3eea","ff02::fb","MDNS","409","Standard query response 0x0000 PTR Spotify Desktop Launcher(1)._spotify-connect._tcp.local SRV 0 0 52593 DESKTOP-LA2S0HR.local TXT A 194.210.222.172 AAAA 2001:690:2100:1016:d66b:f848:1953:1c44 AAAA 2001:690:2100:1016:c090:1087:3af6:2dec AAAA fe80::ab83:1b14:5c68:3eea"
"80","0.073012","fe80::1782:e79f:b19a:e6eb","ff02::c","ICMPv6","86","Multicast Listener Report"
"81","0.073166","fe80::1782:e79f:b19a:e6eb","ff02::fb","ICMPv6","86","Multicast Listener Report"
"82","0.073254","fe80::1782:e79f:b19a:e6eb","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"83","0.073348","fe80::922:fb90:9947:9c74","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"84","0.073433","fe80::922:fb90:9947:9c74","ff02::fb","ICMPv6","86","Multicast Listener Report"
"85","0.073520","fe80::922:fb90:9947:9c74","ff02::c","ICMPv6","86","Multicast Listener Report"
"86","0.073608","fe80::efd8:24c3:4cb9:9f71","ff02::c","ICMPv6","86","Multicast Listener Report"
"87","0.074952","fe80::efd8:24c3:4cb9:9f71","ff02::fb","ICMPv6","86","Multicast Listener Report"
"88","0.075096","fe80::efd8:24c3:4cb9:9f71","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"89","0.075181","fe80::142a:74ec:3821:dc57","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"90","0.075271","fe80::142a:74ec:3821:dc57","ff02::fb","ICMPv6","86","Multicast Listener Report"
"91","0.075351","fe80::142a:74ec:3821:dc57","ff02::c","ICMPv6","86","Multicast Listener Report"
